rank,frozen_genomic_order,raw_feature_name,model_feature_name,feature_type,beta,abs_beta,hazard_ratio,direction,direction_display,is_active,standard_error,beta_ci_lower_95,beta_ci_upper_95,hazard_ratio_ci_lower_95,hazard_ratio_ci_upper_95,comparison_to,z_statistic,p_value,negative_log2_p_value
49,6,erbb2,erbb2,expression,2.2034233920783771e-08,2.2034233920783771e-08,1.0000000220342342,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.9172904897329503e-05,-7.6755448534657745e-05,7.6799517002499318e-05,0.9999232474970895,1.0000768024661608,0,0.00056248659573586771,0.99955120065326986,0.00064762592980178318
50,21,pten,pten,expression,2.1875532978249286e-08,2.1875532978249286e-08,1.0000000218755332,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.9077669925883572e-05,-7.6568950121497554e-05,7.6612701187454051e-05,0.99992343398120564,1.0000766156360155,0,0.00055979624731309166,0.99955334724040157,0.00064452767202129624
51,39,tsc2,tsc2,expression,-2.0812082991744292e-08,2.0812082991744292e-08,0.99999997918791728,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.8459384526247078e-05,-7.5399820622013065e-05,7.5358196456029578e-05,0.99992460302187303,1.0000753610359565,0,-0.00054114446312943023,0.99956822920877819,0.00062304809596254299
52,31,arrdc1,arrdc1,expression,-1.7643578446450539e-08,1.7643578446450539e-08,0.99999998235642173,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.6817518913081548e-05,-7.2178654648208553e-05,7.2143367491315661e-05,0.99992782395016822,1.0000721459698865,0,-0.0004792169317031746,0.99961764022355348,0.00055173404049019173
53,22,sox9,sox9,expression,1.680190077824452e-08,1.680190077824452e-08,1.000000016801901,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.6430627597311409e-05,-7.1385916124143081e-05,7.1419519925699582e-05,0.99992861663178978,1.0000714220703604,0,0.00046120261676426636,0.99963201356572751,0.00053098990837390674
54,30,pdgfra,pdgfra,expression,-1.5584953183833088e-08,1.5584953183833088e-08,0.99999998441504689,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.5906986901129623e-05,-7.0391986072749384e-05,7.0360816166381709e-05,0.99992961049138496,1.0000703632915466,0,-0.00043403678584188831,0.99965368876062977,0.00049970803989394846
55,37,lama2,lama2,expression,-1.4965067291913564e-08,1.4965067291913564e-08,0.99999998503493281,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.5656328554163692e-05,-6.9900084854379889e-05,6.9870154719796064e-05,0.99993010235809965,1.000069872595696,0,-0.00041970297836976963,0.99966512548326714,0.00048320271526479337
56,33,akr1c4,akr1c4,expression,1.3246465811452361e-08,1.3246465811452361e-08,1.0000000132464657,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.5017366081236187e-05,-6.8619529886865968e-05,6.8646022818488872e-05,0.99993138282437899,1.0000686483790104,0,0.00037828275778144227,0.99969817403514671,0.00043550854990619651
57,48,mlh1,mlh1,expression,-1.1543729704518581e-08,1.1543729704518581e-08,0.99999998845627025,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.4464341220521823e-05,-6.7560411272826501e-05,6.7537323813417473e-05,0.99993244187088026,1.0000675396045098,0,-0.00033494705819720865,0.99973275091857516,0.00038561045376891902
58,32,cdc25a,cdc25a,expression,9.9618718596322715e-09,9.9618718596322715e-09,1.0000000099618718,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.4020852753409854e-05,-6.666968424816401e-05,6.6689607991883277e-05,0.99993333253812566,1.0000666918317931,0,0.0002928166419530389,0.99976636612557823,0.000337101812746818
59,8,erbb3,erbb3,expression,-9.6903392463300453e-09,9.6903392463300453e-09,0.9999999903096608,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.3951462813382467e-05,-6.6553334675926903e-05,6.653395399743424e-05,0.99993344887994817,1.0000665361674301,0,-0.00028541742956979325,0.9997722698426541,0.00032858258416579777
60,20,hras,hras,expression,9.5558931832812525e-09,9.5558931832812525e-09,1.0000000095558932,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.3917829350365545e-05,-6.6468168067308756e-05,6.6487279853675324e-05,0.99993353404089236,1.0000664894901818,0,0.00028173657826302686,0.99977520673696429,0.00032434458241134323
61,4,hsd17b11,hsd17b11,expression,9.4541758342038882e-09,9.4541758342038882e-09,1.0000000094541759,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.3892709681503986e-05,-6.6419036138385608e-05,6.6437944490054025e-05,0.99993358316955694,1.0000664401515391,0,0.00027894423086989839,0.99977743470775016,0.00032112958087811288
62,38,ttyh1,ttyh1,expression,-6.1877953912345869e-09,6.1877953912345869e-09,0.99999999381220461,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.3231154193756058e-05,-6.5138053179850279e-05,6.5125677589067819e-05,0.99993486406825705,1.0000651277983121,0,-0.00018620464866060047,0.99985143018654254,0.00021435685697431689
63,25,mmp1,mmp1,expression,-5.9675981835226095e-09,5.9675981835226095e-09,0.99999999403240181,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.3196618262381807e-05,-6.5070143800976496e-05,6.5058208604609443e-05,0.99993493197321481,1.0000650603249357,0,-0.00017976524404851964,0.99985656808797729,0.00020694334967535094
64,43,mmp15,mmp15,expression,-5.2965707090337766e-09,5.2965707090337766e-09,0.99999999470342926,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.3099156424420701e-05,-6.4878451081231149e-05,6.4867857939813093e-05,0.99993512365347992,1.0000648699619046,0,-0.0001600213202148543,0.99987232145974614,0.00018421295712318505
65,45,bmp6,bmp6,expression,4.3981961431225759e-09,4.3981961431225759e-09,1.0000000043981963,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.2986971637937486e-05,-6.464887817325858e-05,6.4657674565544835e-05,0.99993535321152061,1.0000646597649183,0,0.00013333131005164236,0.99989361700655333,0.00015348638139555561
66,46,tgfbr3,tgfbr3,expression,-2.9410042744306559e-09,2.9410042744306559e-09,0.99999999705899567,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.2849395342234139e-05,-6.4386572788971137e-05,6.4380690780422288e-05,0.99993561549998178,1.0000643827632614,0,-8.9529936359267957e-05,0.99992856544614472,0.00010306195773143547
67,26,folr1,folr1,expression,2.7867733710281721e-09,2.7867733710281721e-09,1.0000000027867735,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.2838038798011177e-05,-6.4358586593659845e-05,6.4364160140401898e-05,0.99993564348437591,1.0000643662315576,0,8.4864184130172595e-05,0.99993228817779867,9.769081754837883e-05
68,44,rad51,rad51,expression,2.1452846741298123e-10,2.1452846741298123e-10,1.0000000002145284,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.2738860033239351e-05,-6.4166772031579503e-05,6.416720108851434e-05,0.99993583528661167,1.0000641692598473,0,6.552716471959414e-06,0.99999477168869577,7.5428785091096993e-06
